movieId,title,genres
19995,Avatar,Action|Adventure|Fantasy|Science Fiction
285,Pirates of the Caribbean: At World's End,Adventure|Fantasy|Action
206647,Spectre,Action|Adventure|Crime
49026,The Dark Knight Rises,Action|Crime|Drama|Thriller
49529,John Carter,Action|Adventure|Science Fiction
559,Spider-Man 3,Fantasy|Action|Adventure
38757,Tangled,Animation|Family
99861,Avengers: Age of Ultron,Action|Adventure|Science Fiction
767,Harry Potter and the Half-Blood Prince,Adventure|Fantasy|Family
209112,Batman v Superman: Dawn of Justice,Action|Adventure|Fantasy
1452,Superman Returns,Adventure|Fantasy|Action|Science Fiction
10764,Quantum of Solace,Adventure|Action|Thriller|Crime
58,Pirates of the Caribbean: Dead Man's Chest,Adventure|Fantasy|Action
57201,The Lone Ranger,Action|Adventure|Western
49521,Man of Steel,Action|Adventure|Fantasy|Science Fiction
2454,The Chronicles of Narnia: Prince Caspian,Adventure|Family|Fantasy
24428,The Avengers,Science Fiction|Action|Adventure
1865,Pirates of the Caribbean: On Stranger Tides,Adventure|Action|Fantasy
41154,Men in Black 3,Action|Comedy|Science Fiction
122917,The Hobbit: The Battle of the Five Armies,Action|Adventure|Fantasy
1930,The Amazing Spider-Man,Action|Adventure|Fantasy
20662,Robin Hood,Action|Adventure
57158,The Hobbit: The Desolation of Smaug,Adventure|Fantasy
2268,The Golden Compass,Adventure|Fantasy
254,King Kong,Adventure|Drama|Action
597,Titanic,Drama|Romance|Thriller
271110,Captain America: Civil War,Adventure|Action|Science Fiction
44833,Battleship,Thriller|Action|Adventure|Science Fiction
135397,Jurassic World,Action|Adventure|Science Fiction|Thriller
37724,Skyfall,Action|Adventure|Thriller
558,Spider-Man 2,Action|Adventure|Fantasy
68721,Iron Man 3,Action|Adventure|Science Fiction
12155,Alice in Wonderland,Family|Fantasy|Adventure
36668,X-Men: The Last Stand,Adventure|Action|Science Fiction|Thriller
62211,Monsters University,Animation|Family
8373,Transformers: Revenge of the Fallen,Science Fiction|Action|Adventure
91314,Transformers: Age of Extinction,Science Fiction|Action|Adventure
68728,Oz: The Great and Powerful,Fantasy|Adventure|Family
102382,The Amazing Spider-Man 2,Action|Adventure|Fantasy
